target;type;state;attack_type;date;description;url;target_website;website_certificate;certificate_vendor;type_of_certificate;website_quality (high medium low);month;year
"Selma Unified School District, Fresno County";Education;California;"Unknown, Ransomware";8/28/2020;"KMPH Fox 26August 28th, 2020School district computer network hit in ransomware cyberattackIT personnel took precautionary measures and had the network shut downOfficials remained uncertain as to total damage caused by the attackRead More";"https://kmph.com/news/local/selma-unified-hit-with-ransomware-attack,";https://www.selmausd.org/;Y;Amazon;sha256;low;8;2020
"Newhall School District, Los Angeles County";Education;California;"Unknown, Ransomware";9/15/2020;"CBS Los AngelesSeptember 15th, 2020School forced to cancel online classes following ransomware cyberattackOfficials reported that bad actors disabled their networkLegal team and insurance provider were consulted following attackRead More";https://losangeles.cbslocal.com/2020/09/15/newhall-school-district-cancels-classes-tuesday-after-ransomware-attack;https://www.newhallschooldistrict.com/;Y;Amazon;sha256;med;9;2020
Visalia Unified School District Hit by Ransomware Attack;Education;California;"Unknown, Ransomware";5/18/2021;"YourCentralValley.comMay 18th, 2021The Visalia Unified School District announced Tuesday it has been the victim of a “ransomware” attack that impacted the operation of the district’s IT systemsThe district said many IT systems are offline until further notice and that local and federal law enforcement have been notified and are aware of the incidentRead More";https://www.yourcentralvalley.com/news/local-news/visalia-unified-school-district-hit-by-ransomware-attack/;https://www.vusd.org/;Y;Amazon;sha256;;5;2021
Denver Public Schools;Education;Colorado;Phishing;4/5/2017;"KDVRApril 5th, 2017Direct deposit phishing scam leaves $40,000 stolen from employeesTraining for phishing scams and firewalls were not enough to bypass incidentMalicious email extremely convincing, 30 employees fell for itSchool district has since repaid employeesRead More";http://kdvr.com/2017/04/05/phishing-scam-diverts-more-than-40k-from-denver-public-schools;https://www.dpsk12.org/;Y;Sectigo RSA Organization Validation Secure Server CA;sha256;;4;2017
"Regis University, Denver County";Education;Colorado;"Unknown, Ransomware";8/24/2019;"The Denver ChannelAugust 24th, 2019University officials disabled computer networkOfficials believed it would help mitigate damageIT staff continued to investigate the cyberattackRead More";"https://www.thedenverchannel.com/news/local-news/college-in-denver-shuts-down-its-network-after-cyberattack,";https://www.regis.edu/;Y;InCommon RSA Server CA;sha256;;8;2019
Shelton High School;Education;Connecticut;Hack;12/30/2016;"Bleeping ComputerDecember 30th, 2016Former Shelton High student launched multiple DDoS attacks Hacker used mobile applications to control/launch attacks Caused Shelton computer system to crash Police arrested hacker, charging with 3rd degree computer crimesRead More";https://www.bleepingcomputer.com/news/legal/another-misguided-teen-arrested-for-ddosing-high-school-network/;http://sheltonhigh.sheltonpublicschools.org/;N;NA;NA;low;12;2016
Newtown Public Schools;Education;Connecticut;Hack;11/6/2017;"WFSBNovember 6th, 2017School website falls victim to hackers800 websites affected in attackTeam System Dz hacking group takes credit for the incident, posting propaganda on webpagesRead More";http://www.wfsb.com/story/36772472/newtowns-schools-website-among-800-hacked-across-the-country;https://www.newtown.k12.ct.us/;Y;R3;sha256;low;11;2017
5 Connecticut School Districts;Education;Connecticut;Hack;2/6/2018;"NBC ConnecticutFebruary 6th, 2018Avon Public Schools District hacked with DDoS attacks & internet brought down as a resultWallingford School District fell victim to a spear-phishing scheme sent W-2 forms, servers infected with viruses from hackersMilford Public Schools fell victim to phishing schemeMiddletown School District reported ransomware attack on its networkMeriden School District experienced DDoS attacks which brought their internet downRead More";https://www.nbcconnecticut.com/news/local/Cyber-Threats-Become-Disruption-In-Connecticut-Schools-472775193.html;NA;NA;NA;NA;;2;2018
"Yale University, New Haven County";Education;Connecticut;"Hacking, Data Breach";7/26/2018;"DOJJuly 26th, 2018Yale University discovers extensive data breach – dating as far back as 2008Hackers accessed private Yale database, extracted personal information119,000 potentially affected individuals notifiedRead More";https://www.doj.nh.gov/consumer/security-breaches/documents/yale-20180726.pdf;https://www.yale.edu/;Y;R3;sha256;high;7;2018
"Bridgeport Public Schools District, Fairfield County";Education;Connecticut;"Hacking, Ransomware";1/7/2019;"Connecticut PostJanuary 7th, 2019 City school district’s computer network attack by a significant virusOutside entity holding district data hostage in exchange for ransomDistrict requiring mandatory password change to access systemEmails not involved in attackRead More";"https://www.ctpost.com/local/article/Bridgeport-Schools-computer-network-hit-by-13515819.php,";https://www.bridgeportedu.net/;Y;Amazon;sha256;low;1;2019
Glastonbury School District;Education;Connecticut;Phishing;3/1/2017;"NBC ConnecticutMarch 1st, 2017Superintendent claims district fell victim to W-2 phishing scamSubmitted 2016 W-2 to hackers, leaving 1,600 potential victimsOther school districts in the U.S. targeted by same attackRead More";"https://www.nbcconnecticut.com/news/local/Glastonbury-Schools-Phishing-Scandals-Impacts-1600-Workers-415374893.html,";https://www.glastonburyus.org/;Y;GTS CA 1D4;sha256;med;3;2017
Groton Public Schools;Education;Connecticut;Phishing;3/1/2017;"U.S. NewsMarch 1st, 2017Groton Public School employee falls victim to spear-phishing schemeHacker requested personal W-2 informationMultiple workers involved in the breachEmail originated overseas, sent to hundreds of school districtsIRS sending an agent to discuss incident with district employeesRead More";https://www.usnews.com/news/best-states/connecticut/articles/2017-03-03/impostor-gets-w-2-info-for-1-300-school-district-workers;https://www.grotonschools.org/;Y;Cloudflare Inc ECC CA-3;sha256;med;3;2017
"Middletown School District, Middlesex Co.";Education;Connecticut;Ransomware;6/29/2018;"CourantJune 29th, 2018Ransomware virus locked staff out of computer systemsSchool District refused to pay ransomDistrict working to determine how malware was installedRead More";http://www.courant.com/community/middletown/hc-news-middletown-school-ransomware-20180629-story.html;https://www.middletownschools.org/;Y;SSL.com RSA SSL subCA;sha256;low;6;2018
"Hamden Board of Education, New Haven County";Education;Connecticut;"Unknown, Malware";1/15/2020;"New Haven IndependentJanuary 15th, 2020Officials announced school district was hit with malware cyberattackStudent and financial information remained safeApproximately 30 devices used by staff were affectedRead More";https://www.newhavenindependent.org/index.php/archives/entry/hamden_boe_computer_virus_malware;https://www.hamden.org/;Y;Cloudflare Inc ECC CA-3;sha256;med;1;2020
"Sherman School, Fairfield County";Education;Connecticut;"Unknown, Ransomware";9/4/2019;"NewstimesSeptember 4th, 2019School board approved $10,000 for ransomware paymentState officials investigated cyberattack at school systemNumerous other communities were hit in attackRead More";https://www.newstimes.com/policereports/article/Police-investigate-attempted-Sherman-School-data-14414105.php;http://www.shermanschool.com/;N;NA;NA;low;9;2019
"Wolcott School District, New Haven County";Education;Connecticut;"Unknown, Ransomware";9/23/2019;"Eyewitness News 3September 23rd, 2019School district in Connecticut hit in ransomware attackDistrict had been victim of cyberattack previously in the yearComputer network, including emails, had been affectedRead More";https://www.wfsb.com/news/wolcott-school-officials-provide-information-on-district-wide-cyber-attack/article_0aa5ded0-de77-11e9-9525-7341c35e3348.html;https://www.wolcottps.org/;Y;R3;sha256;low;9;2019
"Watertown Schools, Litchfield County";Education;Connecticut;"Unknown, Ransomware";11/6/2019;"WFSBNovember 6th, 2019Sheriff's Office employee accidentally opened suspicious email, causing virus to infect agency systemsCAD, phone lines, and management systems were all impacted by the cyberattackOfficials successfully identified ransomware as the culprit, computers and server cleaned and restoredRead More";https://www.wfsb.com/news/watertown-school-system-hit-by-hackers/article_d1387b76-00d1-11ea-9195-936280ea9249.html;https://www.watertownps.org/;Y;R3;sha256;med;11;2019
"Hartford Public Schools, Hartford County";Education;Connecticut;"Unknown, Ransomware";9/10/2020;"Fox NewsSeptember 10th, 2020Schools in connecticut had to postpone following a notification that MHIS saw ransomware causing systems to go downIt is not believed that sensitive information was stolen at this pointThe bad actors are still at large and there was no specific ransom detailed with only contact information left behindRead More";"https://www.foxnews.com/tech/ransomware-strikes-again-hartford-school-district-forced-to-postpone-first-day-of-classes,";https://www.hartfordschools.org/;Y;R3;sha256;med;9;2020
Florida Virtual School;Education;Florida;Hack;3/9/2018;"Miami HeraldMarch 9th, 2018More than 350,000 potentially affected associates of Florida Virtual SchoolMore than 1,800 Leon County school teachers had had private financial info exposed in attackFlorida Virtual School discovered hack 2 years later, offering free identity protection servicesRead More";http://www.miamiherald.com/news/local/education/article204464984.html;https://www.flvs.net/;Y;Go Daddy Secure Certificate Authority - G2;sha256;med;3;2018
"Leon County Schools, Leon County";Education;Florida;"Hacking, Other";3/16/2021;"WTXLMarch 16th, 2021On the school's homepage negative messages were posted in a large orange banner for many to seeThe post was removed from the website as soon as possibleThere has been no indication that servers are at a larger risk and no other issues have been reportedRead More";"https://www.wtxl.com/news/local-news/lcs-website-hacked-during-spring-break,";https://www.leonschools.net/;Y;Amazon;sha256;high;3;2021
"University of Florida (Student Government Websites), Alachua County";Education;Florida;"Hacking, Other: Website Defacement";8/10/2019;"WCJB August 10th, 2019 There were various websites hacked associated with the university's website Data on the websites was replaced with obscenities and political messages prompting the sites to be restored the same day Read More";"https://www.wcjb.com/content/news/University-of-Florida-websites-hacked-533369191.html,";https://sg.ufl.edu/;Y;InCommon RSA Server CA;sha256;med;8;2019
"Wakulla County School District, Wakulla County";Education;Florida;"Hacking, Ransomware";9/20/2019;"WCTV September 20th, 2019 County School District hit with ransomware cyberattack that took down network Insurance carrier paid ransom in bitcoin to attackers Transportation, food service, and library program had all been affected Read More";https://www.wctv.tv/content/news/Wakulla-County-School-District-computer-system-hacked-559932431.html;https://www.wakullaschooldistrict.org/;Y;R3;sha256;med;9;2019
"Broward County Public Schools, Broward County";Education;Florida;"Hacking, Ransomware";3/31/2021;"Miami HeraldMarch 31st, 2021Threat actors demanded $40 million for the release of school district dataCompromised information includes students' and employees' SSNs, addresses, and dates of birthThe district has reported no intention of paying the ransomRead More";https://www.miamiherald.com/news/local/community/broward/article250344061.html;https://www.browardschools.com/;Y;Amazon;sha256;med;3;2021
Manatee County School District;Education;Florida;Phishing;2/10/2017;"Bradenton HeraldFebruary 10th, 2017Employees of school district fall victim to spear-phishing schemeSent W-2 forms of all district employees to hackersDistrict's cyber insurance may help pay for costs of attackRead More";http://www.bradenton.com/news/local/education/article131998659.html;https://www.manateeschools.net/;Y;Amazon;sha256;med;2;2017
Walton School District;Education;Florida;Phishing;3/21/2017;"WJHGMarch 21st, 2017Walton School District employees fall victim to spear-phishing schemeDistrict implementing additional safeguard to ensure potentially affected individuals are protectedDistrict notified employees, IRS, and local authoritiesThirty people potentially impacted by breachRead More";"http://www.wjhg.com/content/news/EXCLUSIVE-Walton-School-District-falls-victim-to-scam--416776183.html,";https://www.walton.k12.fl.us/;Y;Cloudflare Inc ECC CA-3;sha256;med;3;2017
"Gulf Coast State College, Bay County";Education;Florida;"Phishing, Data Breach";10/2/2020;"WJHGOctober 2, 2020Students and employees received a letter stating that a hacker was able to gain access through an email scamLetter stated that sensitive information was contained in emails that was exposed to bad actorsUpon discovering the attack IT was immediately contacted and outside forensic teams are being used to help restore normalcy to serversRead More";https://www.wjhg.com/2020/10/03/students-and-employees-notified-of-gulf-coast-state-college-data-breach;https://www.gulfcoast.edu/;Y;Go Daddy Secure Certificate Authority - G2;sha256;med;10;2020
"Sumter County Public Schools, Sumter County";Education;Florida;"Phishing, Other";1/26/2020;"Orlando WeeklyJanuary 26th, 2020Bad actors scammed school out of $206,000School employee entered banking information on bogus websiteFederal authorities apprehended the suspectsRead More";https://www.orlandoweekly.com/Blogs/archives/2020/01/26/hacker-stole-more-than-200000-from-sumter-county-public-schools;https://www.sumter.k12.fl.us/scsb;Y;Amazon;sha256;low;1;2020
"Monroe County School District, Monroe County";Education;Florida;Ransomware;9/12/2018;"Miami HeraldSeptember 12th, 2018Monroe County School District fell victim to ransomware variant known as GandCrabRansomware encrypted data twice before Monroe fully recoveredThere was no threat to student dataRead More";https://www.miamiherald.com/latest-news/article218289740.html;https://www.keysschools.com/;Y;Amazon;sha256;low;9;2018
"Polk County School District, Polk County";Education;Florida;"Unknown, Data Breach";3/24/2021;"WTSPMarch 24th, 2021Data breach occured in December 2019Students' names, ID numbers, and dates of birth were potentially exposedImpacted families have been offered free identity monitoringRead More";https://www.wtsp.com/article/news/local/polkcounty/sata-breach-polk-county/67-681ad976-fff3-4e93-bfe9-9d810eb15123;https://polkschoolsfl.com/;Y;GeoTrust TLS DV RSA Mixed sha256 2020 CA-1;sha256;med;3;2021
"Alachua County School District, Alachua County";Education;Florida;"Unknown, Data Breach";3/31/2021;"Data BreachesMarch 31st, 2021Vendor PCS Revenue Control System experienced data breachThe school district confirmed the legitimacy of a letter sent to families on Monday, March 29thThe vendor last worked with Alachua County School District in 2016Read More";https://www.databreaches.net/fl-school-officials-investigate-possible-breach-involving-firm-they-never-used/;https://www.sbac.edu/;Y;Amazon;sha256;low;3;2021
"Thomas County School District, Thomas County";Education;Georgia;"Hacking, Other";3/6/2019;"Data BreachesMarch 6th, 2019 The School district was made aware of a breach within their online banking systems Hackers targeted the school district gaining access to employee banking information No money was stolen due to safety protocols set in place within the bank Read More";https://www.databreaches.net/pa-thomas-county-school-district-notifies-employees-of-online-banking-system-breach;https://www.thomas.k12.ga.us/;Y;R3;sha256;low;3;2019
"Cobb County School District, Cobb County";Education;Georgia;"Hacking, Other";3/12/2021;"WSBTVMarch 12th, 2021A police report notes that the Cobb County School District withheld information about a hack for weeksThe report also notes that the incident was noted as a hacking, computer invasionFollowing the attack an investigation was launched to determine the sourceRead More";https://www.wsbtv.com/news/local/cobb-county/police-report-shows-cobb-county-schools-withheld-information-parents-teachers/F5J6ETRYNFBXTMVZZFBQV2BRWI/;https://www.cobbk12.org/;Y;Go Daddy Secure Certificate Authority - G2;sha256;med;3;2021
Augusta University;Education;Georgia;Phishing;9/7/2016;"WFXGSeptember 7th, 2016Phishing scheme hits employees containing personal health information of patientsLess than one percent of patients affected by the breachAugusta University notified potentially affected patientsRead More";http://www.wfxg.com/story/35533360/investigation-into-phishing-attack-at-augusta-university;https://www.augusta.edu/;Y;R3;sha256;high;9;2016
Atlanta Public Schools;Education;Georgia;Phishing;9/30/2017;"AJCSeptember 30th, 2017Cyber thieves steal paychecks from 27 employeesTargeted payroll funds – taking $56, 459Hackers changed direct deposit information of 7 more employeesDistrict may not recover stolen money unless state investigators apprehend the hackersRead More";https://www.ajc.com/news/local-education/payday-problems-cyber-thieves-swipe-paychecks-from-atlanta-school-employees/MrW67ZtzLfDAbcJetu7unL/;https://www.atlantapublicschools.us/;Y;Amazon;sha256;low;9;2017
Georgia Tech;Education;Georgia;Phishing/Ransomware;7/20/2016;"Georgia Tech News CenterJuly 20th, 2016Phishing emails circulated through Georgia Tech CommunityEmails contained malicious attachment distributing ransomwareThose who open attachment advised to shut off infected devices and contact TSO help deskRead More";https://support.cc.gatech.edu/news/latest-phishing-attempt-73;https://www.gatech.edu/;Y;InCommon RSA Server CA;sha256;high;7;2016
Georgia Tech;Education;Georgia;Ransomware;12/22/2016;"Georgia Tech NewsDecember 22nd, 2016Employee conducted research on website which contained malicious ransomwareRansomware spread to Georgia Tech's network, allowing access to past & present employee dataGeorgia Tech Cyber Security secured network and impacted systemsHuman Resources notified potentially affected individuals of incidentRead More";http://www.news.gatech.edu/2016/12/22/human-resources-notifies-employees-data-breach;https://www.gatech.edu/;Y;InCommon RSA Server CA;sha256;high;12;2016
"Augusta University, Richmond County";Education;Georgia;"Unknown, Data Breach";8/4/2020;"Jag WireAugust 4th, 2020The university was one of many notified of the Blackbaud breachIt has been asserted that the bad actors had no access to sensitive informationBlackbaud is providing more information regarding the incident on their websiteRead More";https://jagwire.augusta.edu/information-about-blackbaud-security-incident;https://www.augusta.edu/;Y;R3;sha256;high;8;2020
"DeKalb County School District, DeKalb County";Education;Georgia;"Unknown, Data Breach";3/29/2021;"PatchMarch 29th, 2021A company used by the school district suffered a data breach in December 2019Students' names, ID numbers, and dates of birth were potentially exposedThe school district was notified of this breach by parents who received letters from the company notifying them of the breachRead More";https://patch.com/georgia/eastatlanta/dekalb-county-school-district-notice-data-breach-letter;https://www.dekalbschoolsga.org/;Y;Go Daddy Secure Certificate Authority - G2;sha256;med;3;2021
Columbia County Schools Grapple with Computer System 'Disruption';Education;Georgia;"Unknown, Malware";3/14/2021;"WRDW/WAGTMarch 14th, 2021The Columbia County School District is experiencing computer problems and is working to restore the systemsThe district described the problem as “technical difficulties that caused a disruption to certain operating systemsThe investigation is ongoing and is expected to conclude within the next few weeks If officials determine there’s been a security breach of any information related to any individual, “the district will move quickly to notify themRead More";https://www.wrdw.com/2021/05/14/columbia-county-schools-grapple-with-computer-system-disruption;https://www.ccboe.net/;Y;R3;sha256;low;3;2021
"Houston County Board of Education, Houston County";Education;Georgia;"Unknown, Ransomware";9/24/2019;"13WMAZSeptember 24th, 2019Ransomware cyberattack used against Houston County, Georgia Board of EducationMain website affected, created error messages when browsingBoard of Education one of multiple victims hit in GeorgiaRead More";https://www.13wmaz.com/article/news/local/houston-county-board-of-education-website-hit-with-ransomware-attack/93-dece14ea-9fef-4c3b-a913-ea972c5b46fc;https://www.hcbe.net/;Y;R3;sha256;med;9;2019
"Oglethorpe County School System, Oglethorpe County";Education;Georgia;"Unknown, Ransomware";11/19/2020;"Athens Banner-HeraldNovember 19th, 2020Ransomware used by bad actors in cyberattackStudents remained home for 2 days following attack on systemsParents were advised to not call the school, however emergency lines were establishedRead More";https://www.onlineathens.com/news/20201119/ransomware-attack-cripples-oglethorpe-county-school-system;https://www.oglethorpe.k12.ga.us/;Y;ZeroSSL RSA Domain Secure Site CA;sha384;med;11;2020
Nampa School District;Education;Idaho;Hack;3/15/2018;"KIVI TVMarch 15th, 2018Hackers access a school district email account3,983 past & present employees potentially affectedNampa School District offering one year of free identity monitoringRead More";https://www.kivitv.com/news/nampa-school-district-investigating-security-breach;https://www.nsd131.org/;Y;R3;sha256;med;3;2018
"The College of Southern Idaho, Twin Falls Co.";Education;Idaho;Phishing;2/7/2017;"Magic ValleyFebruary 7th, 2017College of Southern Idaho fell victim to malicious phishing schemeEmployee inadvertently sent all employee W-2 information to hackersLocal law enforcement & FBI lead investigation on cyber attackRead More";http://magicvalley.com/news/local/education/csi-hit-with-cyber-scam/article_6a0e89b1-54e0-5d4d-b840-f546bc8cf6c3.html;https://www.csi.edu/;Y;Go Daddy Secure Certificate Authority - G2;sha256;med;2;2017
"Bonneville Joint School District 93 & Idaho Falls District 91, Bonneville County";Education;Idaho;"Phishing, Malware";10/27/2018;"East Idaho NewsOctober 27th, 2018 The school district is recovering after a wide scale phishing scam after several staff accounts were compromisedSeveral realistic emails were sent out that looked legitimate leaving the district to attempt to repair damages and become secure againThe district suffered as two separate attacks, another being a virus, occurred at the same time Emails attempted to gain credentials to users’ accounts such as passwords and usernames to access their accounts Read More";https://www.eastidahonews.com/2018/10/several-d93-accounts-compromised-due-to-phishing-scam-d91-computers-attacked-by-virus/;https://www.d93schools.org/;Y;R3;sha256;med;10;2018
"College of Eastern Idaho, Bonneville County";Education;Idaho;"Phishing, Other";12/28/2018;"DataBreachesDecember 28th, 2018College of Eastern Idaho identified suspicious activity within employee’s email accountUnauthorized access to four employee email accounts occurred for two monthsIndividuals impacted in data breachRead More";https://www.databreaches.net/another-day-another-edu-sector-breach-as-employees-continue-to-fall-for-phishing-attacks;https://www.cei.edu/;Y;GlobalSign GCC R3 DV TLS CA 2020;sha256;med;12;2018
"Teton School District, Teton County";Education;Idaho;"Phishing, Other";1/7/2019;"Teton Valley NewsJanuary 7th, 2019 The school district received fraudulent emails causing the district to lose $784k of bond fundsSeveral people overlooked the invoice but payment had not been made until the fraudulent email was sentTwo emails were sent that requested payment looking believable but were false Read More";"https://www.tetonvalleynews.net/news/district-had-discussed-electronic-payments-to-headwaters-prior-to-fraudulent/article_129c741c-12b4-11e9-9658-47b976f0aecf.html,";https://www.tcsd.org/;Y;R3;sha256;med;1;2019
Jerome School District;Education;Idaho;Ransomware;12/11/2017;"Seattle TimesDecember 11th, 2017Ransomware infects Jerome District's internet and phone systemsMalware entered system through downloaded content or malicious emailDistrict refused to pay ransom, restoring backups on every deviceJerome District's anti-virus software failed to notify & protect against attackRead More";https://www.seattletimes.com/nation-world/idaho-school-works-to-recover-data-weeks-after-cyberattack/;https://www.jeromeschooldistrict.org/;Y;R3;sha256;low;12;2017
"Sugar-Salem School District 322, Madison County";Education;Idaho;"Unknown, Ransomware";4/26/2019;"East Idaho News April 26th, 2019 During school testing over 300 servers were locked down due to a ransomware attackNo sensitive data was lost or accessed but testing was shut downThe district is still experiencing a lack of the servers and cannot use online servicesRead More";https://www.eastidahonews.com/2019/04/ransomware-takes-down-servers-at-local-school-district;https://www.sugarsalem.org/;Y;R3;sha256;low;4;2019
"Hoopeston Area School District, Vermilion County";Education;Illinois;"Hacking, Other";9/3/2018;"DataBreachesSeptember 3rd, 2018Hoopeston Area School District website hacked Pictures & emergency callout messages sent to district families Website has since been secured Read More";https://www.databreaches.net/il-hoopeston-area-school-district-website-hacked-false-emergency-messages-sent-out;https://www.hoopeston.k12.il.us/;Y;R3;sha256;med;9;2018
"Niles Township High School District 219, Cook County";Education;Illinois;"Hacking, Other";11/13/2020;"Journal & TopicsNovember 13th, 2020Racist, offensive, and inappropriate content was emailed to studentsBad actors hacked district's systems in cyberattackIT personnel worked closely with local police to investigateRead More";https://www.journal-topics.com/articles/hackers-flood-dist-207-websites-email-with-hate-speech/;https://www.niles-hs.k12.il.us/;Y;Go Daddy Secure Certificate Authority - G2;sha256;low;11;2020
"Maine Township High School District 207 Website and emails, Cook County";Education;Illinois;"Hacking, Other";11/13/2020;"Journal & TopicsNovember 13th, 2020School district website was defaced following cyberattackBad actors left hate speech and inappropriate imagery on school websiteOfficials filed report with municipal police which were aided by neighboring departmentRead More";https://www.journal-topics.com/articles/hackers-flood-dist-207-websites-email-with-hate-speech;https://maine207.org/;Y;Cloudflare Inc ECC CA-3;sha256;med;11;2020
"Mount Zion School District, Macon County";Education;Illinois;"Hacking, Ransomware";2/14/2019;"Herald Review February 14th, 2019 School system lost several weeks of student’s gradesAttack was from a brute force foreign attack aimed at the networkData was not removed but instead encrypted and left unusableRead More";"https://herald-review.com/news/state-and-regional/crime-and-courts/foreign-hackers-infiltrate-mount-zion-school-district-computer-system-most/article_ee9376f3-85e9-53b7-a490-721660f2f151.html,";https://www.mtzschools.org/;Y;Amazon;sha256;med;2;2019
Morton School District;Education;Illinois;Phishing;1/31/2017;"Central Illinois ProudJanuary 31st, 2017Morton Police department believe Russian hackers source of phishing schemeInvestigating situation in which employees of school district had their W-2 information releasedRead More";http://www.centralillinoisproud.com/news/local-news/email-hack-affects-local-school-district/647809821;https://www.morton709.org/;Y;Cloudflare Inc ECC CA-3;sha256;med;1;2017
Pekin Community High School;Education;Illinois;Ransomware;4/27/2017;"PJ StarApril 27th, 2017Hackers demand $37,000 after encrypting entire school networkPekin Community was unsuspecting, having good security measures in the pastLocal police and FBI involved in the case, no personal data at riskPekin refused to pay ransom, mostly restoring system through backupsRead More";https://www.pjstar.com/news/20170426/pekin-high-school-subject-of-cyberattack;https://www.pekinhigh.net/;Y;R3;sha256;med;4;2017
"Peoria Notre Dame High School, Peoria County";Education;Illinois;TDoS/DDoS;10/29/2018;"PJ StarOctober 29th, 2018 Cyber attack on Peoria Notre Dame High School draws attention of federal investigatorsDenial of Service attacks plagued school multiple times in the month of OctoberAttacks posed serious threat to the school and day to day operationsRead More";https://www.pjstar.com/news/20181029/fbi-investigating-cyber-attack-at-peoria-notre-dame-high-school;https://www.pndhs.org/;Y;R3;sha256;high;10;2018
"College of DuPage, DuPage County";Education;Illinois;"Unknown, Data Breach";3/16/2020;"Info SecurityMarch 16th, 2020Over 1,700 employees were given free credit monitoringOfficials did not disclose the nature of the attackWebsite was taken offline during attack by bad actorsRead More";https://www.infosecurity-magazine.com/news/illinois-college-suffers-data/;https://www.cod.edu/;Y;Go Daddy Secure Certificate Authority - G2;sha256;high;3;2020
"Illinois Valley Community College, LaSalle County";Education;Illinois;"Unknown, Malware";4/25/2020;"WCMY 1430 AMApril 25th, 2020Bad actor's using malware hacked college systemsOfficials believed systems would be restored within 10 daysPayroll, student registration, and email remained downRead More";https://www.1430wcmy.com/2020/04/25/email-class-registration-payroll-down-from-computer-hack-at-ivcc/;https://www.ivcc.edu/;Y;DigiCert TLS RSA sha256 2020 CA1;sha256;med;4;2020
"Columbia College, Cook County";Education;Illinois;"Unknown, Malware";6/2/2020;"Columbia ChronicleJune 2nd, 2020Six of Columbia University's applications were marked as down until further notice due to malicious activityIT was able to respond immediately but servers and storage were still downFrom what the college knows it seems that no information was compromised or takenRead More";"https://columbiachronicle.com/breaking-data-center-alerted-by-malicious-activity-six-applications-down,";https://www.colum.edu/;Y;R3;sha256;med;6;2020
"Heartland Community College, McLean County";Education;Illinois;"Unknown, Malware";10/7/2020;"PantagraphOctober 7th, 2020College online operations remain shut down following safety measure due to outside source compromising some systemsNo personal information seems to be affected by this attack at this timeThe colleges internal information technology security were able to catch the attackRead More";"https://www.pantagraph.com/news/local/education/heartland-community-college-working-with-consultants-on-cybersecurity-breach/article_5974cf5a-2628-58e0-b1d7-08d14bac2a48.html,";https://www.heartland.edu/;Y;Sectigo RSA Domain Validation Secure Server CA;sha256;med;10;2020
"Rockford Public Schools, Winnebago County";Education;Illinois;"Unknown, Ransomware";11/13/2019;"Data Breaches November 13th, 2019 School district had 50-60 of its servers go down in ransomware attack District continued to recover from cyberattack months later Officials described the attack as devastating Read More";https://www.databreaches.net/il-rockford-public-schools-release-details-about-ransomware-attack;https://www.rps205.com/;Y; Cloudflare Inc ECC CA-3;sha256;med;11;2019
"Sycamore School District 427, DeKalb County";Education;Illinois;"Unknown, Ransomware";12/3/2019;"Daily ChronicleDecember 3rd, 2019School district hit with ransomware cyberattackVisitors to district webpage discovered message indicating attackUnknown number of servers were affectedRead More";https://www.daily-chronicle.com/2019/12/03/ransomware-attack-hits-sycamore-school-district-427/apeslaw;https://www.syc427.org/;Y;Cloudflare Inc ECC CA-3;sha256;med;12;2019
"Crystal Lake Community High School District 155, McHenry County";Education;Illinois;"Unknown, Ransomware";1/28/2020;"NwHeraldJanuary 28th, 2020School district's computer network affected after cyberattackBad actors used ransomware to hinder school's networkOfficials contacted outside IT team to assist with restorationRead More";https://www.nwherald.com/2020/01/28/district-155-system-access-limited-after-ransomware-attack-no-data-breach-officials-say/aqim4pp;https://www.d155.org/;Y;Cloudflare Inc ECC CA-3;sha256;med;1;2020
Eastern Hancock Hit with Ransomware Attack;Education;Indiana;"Hacking, Ransomware";5/25/2021;"Greenfield ReporterMay 25th, 2021The Eastern Hancock Community School Corporation recently became the latest victim of a ransomware attack, prompting the school system to shut down its networks and cancel a day of schoolThere was no damage to or release of student or employee data, which is stored at an offsite locationThe Eastern Hancock attackers had not yet made a ransom demand The attack impacted a small portion of the school corporation’s internal network, but it was shut down to protect the rest of the network. On Monday, the internet, phones, printing and HVAC systems were shut downRead More";http://www.greenfieldreporter.com/2021/05/26/eastern_hancock_hit_with_ransomware_attack-3/;https://www.easternhancock.org/1/home;Y;R3;sha256;med;5;2021
Logansport schools Investigating network hack;Education;Indiana;"Hacking,"" Ransomware";4/27/2021;"wlfiApril 27th"", 2021Cyber forensics experts are investigating how hackers took control of a school corporation's network. Logansport Community School Corp. Supt. Michele Starkey says hackers accessed some information and held it for ransomHackers on April 11 shut down the internet and phone systems in every building in the Logansport school system,"" forcing the corporation to move to e-learning the next dayThe hackers encrypted some information and asked for 13 Bitcoin in return for the decryption tool. The corporation's tech team took back control of the network and the information without paying the ransom """"""""We're working through the process and we do not believe that any secured information was gotten into or compromised.""""""""Read More""""";"https://www.wlfi.com/content/news/Logansport-schools-investigating-network-hack-574290721.html"",";https://www.lcsc.k12.in.us/;Y;R3;sha256;med;4;2021
